,peak_id,peak_name,height_metres,climbing_status
140,NUPT,Nuptse,7864,Climbed
141,OHMI,Ohmi Kangri,6839,Climbed
142,OMBK,Ombak Himal,6300,Unclimbed
143,PALD,Paldor,5903,Climbed
144,PANG,Pangbuk Ri,6625,Climbed
145,PARC,Parchamo,6279,Climbed
146,PATR,Patrasi Himal,6450,Unclimbed
147,PETH,Pethangtse,6739,Climbed
148,PHUR,Phurbi Chhyachu,6637,Climbed
149,PIMU,Pimu,6344,Climbed
150,PISA,Pisang,6091,Climbed
151,PK29,Peak 29,7871,Climbed
152,POIN,Pointed Peak,5850,Climbed
153,POKA,Pokalde,5780,Climbed
154,OMBG,Ombigaichen,6340,Climbed
155,PUMO,Pumori,7138,Climbed
156,PUTH,Putha Hiunchuli,7246,Climbed
157,PYRM,Pyramid Peak,7140,Climbed
158,RAKS,Raksha Urai,6609,Climbed
159,RAMD,Ramdung,5900,Climbed
160,RATH,Rathong,6682,Climbed
161,ROCN,Roc Noir,7485,Climbed
162,ROKA,Rokapi,6468,Climbed
163,SAIE,Saipal East Humla,6925,Climbed
164,SAIP,Saipal,7030,Climbed
165,SHAR,Shartse,7591,Unclimbed
166,SHA2,Shartse II,7457,Climbed
167,SHEY,Shey Shikhar,6139,Climbed
168,SING,Singu Chuli,6501,Climbed
169,SISN,Sisne Himal,5911,Climbed
170,SITA,Sita Chuchura,6611,Climbed
171,SNOW,Snow Peak,6530,Unclimbed
172,SPHN,Sphinx,6825,Climbed
173,SPH1,Sharphu I,6433,Climbed
174,SURM,Surma-Sarovar North,6564,Unclimbed
175,TAWO,Tawoche,6495,Climbed
176,KIRA,Kirat Chuli,7362,Climbed
177,THAM,Thamserku,6618,Climbed
178,THAR,Tharpu Chuli,5695,Climbed
179,TILI,Tilicho,7134,Climbed
180,TLNG,Talung,7349,Climbed
181,TONG,Tongu,6187,Climbed
182,TRIP,Tripura Hiunchuli,6553,Climbed
183,TSOK,Tso Karpo Kang,6556,Climbed
184,TUKU,Tukuche,6920,Climbed
185,URKM,Urkinmang,6143,Climbed
186,ANID,Anidesh Chuli,6808,Unclimbed
187,TSUR,Tsaurabong Peak,6395,Climbed
188,YALU,Yalung Kang,8505,Climbed
189,PASA,Pasang Lhamu Chuli,7350,Climbed
190,RATC,Ratna Chuli,7035,Climbed
191,KANT,Kanti Himal,6850,Climbed
192,RAMT,Ramtang,6601,Climbed
193,LING,Lingtren,6713,Climbed
194,TENG,Tengkoma,6215,Climbed
195,RAMC,Ramtang Chang,6802,Climbed
196,CHRE,Churen Himal East,7371,Climbed
197,CHRW,Churen Himal West,7371,Climbed
198,CHRI,Chhukung Ri,5550,Climbed
199,KTOK,Kangtokal,6294,Climbed
200,SRKU,Serku Dolma,6227,Climbed
201,NALS,Nalakankar South,6024,Climbed
202,CHWT,Changwathang,6130,Climbed
203,TAKP,Takphu Himal,6395,Climbed
204,MALA,Malanphulan,6573,Climbed
205,LHOM,Lhotse Middle,8410,Climbed
206,SIMN,Simnang Himal,6251,Climbed
207,HCHI,Hungchhi,7029,Climbed
208,LAMP,Lampo,6648,Unclimbed
209,CHUK,Chhukung Tse,5833,Climbed
210,DZAN,Dzanye,6581,Climbed
211,GAUG,Gaugiri,6110,Climbed
212,TKPO,Tengkangpoche,6482,Climbed
213,ARNK,Arniko Chuli,6034,Climbed
214,SARI,Saribung,6328,Climbed
215,GHEN,Ghenge Liru,6596,Climbed
216,NAUL,Naulekh,6340,Climbed
217,CHEK,Chekigo,6121,Climbed
218,KTUN,Khatung Khang,6484,Climbed
219,CHAG,Chago,6893,Climbed
220,NUMR,Numri,6635,Climbed
221,PK41,Peak 41,6648,Climbed
222,KYAZ,Kyazo Ri,6151,Climbed
223,PAND,Pandra,6670,Climbed
224,DANG,Danga,6220,Climbed
225,POKR,Pokharkang,6372,Climbed
226,NAG1,Nangpai Gosum I,7321,Climbed
227,KGRI,Khangri Shar,6792,Unclimbed
228,KGRW,Khangri West,6658,Unclimbed
229,PURB,Purbung Himal,6500,Unclimbed
230,TASH,Tashi Kang,6386,Climbed
231,TENR,Tengi Ragi Tau,6938,Climbed
232,KYAS,Kyashar,6770,Climbed
233,NREK,Nirekha,6159,Climbed
234,NORB,Norbu Kang,6085,Climbed
235,LNKE,Lunchhung Kamo East,6024,Climbed
236,LIK1,Linkhu Chuli Shar,6719,Climbed
237,LIK2,Linkhu Chuli Nup,6659,Climbed
238,PANT,Panalotapa,6687,Climbed
239,SHAL,Shalbachum,6707,Climbed
240,KHUM,Khumbutse,6639,Unclimbed
241,BOKT,Boktoh,6114,Climbed
242,MOJC,Mojca,6024,Climbed
243,PLNG,Palung,7012,Climbed
244,TUTS,Tutse,6758,Unclimbed
245,NUPE,Nuptse East I,7795,Climbed
246,AMOT,Amotsang,6393,Unclimbed
247,YANS,Yansa Tsenji,6567,Unclimbed
248,HIMJ,Himjung,7092,Climbed
249,AMPH,Amphu I,6740,Climbed
250,CHAB,Chabuk,6792,Unclimbed
251,CHAK,Chako,6704,Climbed
252,DOMK,Dome Kang,7264,Climbed
253,GHAN,Ghhanyala Hies,6744,Unclimbed
254,HUNK,Hunku,6119,Climbed
255,JANK,Janak Chuli,7041,Climbed
256,KABS,Kabru South,7318,Climbed
257,KABR,Kabru Main,7412,Climbed
258,LASH,Lashar I,6842,Climbed
259,LAS2,Lashar II,6803,Unclimbed
260,NAG2,Nangpai Gosum II,7287,Unclimbed
261,NANG,Nangamari I,6547,Climbed
262,PANB,Panbari,6905,Climbed
263,PHNH,Phungi Himal,6538,Climbed
264,MARI,Mariyang,6528,Unclimbed
265,TKRG,Takargo,6771,Climbed
266,THUL,Thulagi,7059,Climbed
267,JOMS,Jomsom Himal,6335,Climbed
268,BAMO,Bamongo,6406,Climbed
269,CHAW,Chaw Peak,6404,Unclimbed
270,DING,Dingjung North,6249,Climbed
271,KNAG,Kang Nagchugo,6737,Climbed
272,KBON,Konabon,6570,Unclimbed
273,KHAM,Khamjung,6759,Climbed
274,KYR1,Kyungka Ri 1,6599,Climbed
275,KYR2,Kyungka Ri 2,6506,Unclimbed
276,KOJI,Kojichuwa Chuli,6439,Climbed
277,CHIV,Chhiv Himal,6650,Climbed
278,LMOC,Langmoche Ri,6552,Climbed
279,LCHA,Lachama Chuli,6721,Climbed
280,PAN1,Panpoche 1,6620,Unclimbed
281,PAN2,Panpoche 2,6504,Unclimbed
282,PHOL,Phole,6645,Unclimbed
283,PHUK,Phu Kang,6694,Unclimbed
